RegionType,RegionName,City,State,Metro,CBSATitle,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,Austin,Austin,TX,"Austin, TX","Austin-Round Rock, TX",13,8.887859129,90.06,,,290300,0.380359613,11.82588598,0.040261798,29.7,0.060878631,0.004068369,68
City,Detroit,Detroit,MI,"Detroit, MI","Detroit-Warren-Dearborn, MI",14,0.061167748,40,,,37800,-1.818181818,-6.896551724,0.003730159,469.4,0.383462788,0.046948064,104
City,Columbus,Columbus,OH,"Columbus, OH","Columbus, OH",15,2.97497683,74.04,14.9694,7.2995,110400,1.098901099,7.184466019,0.039112319,72.9,0.190835265,0.044043794,80
City,Memphis,Memphis,TN,"Memphis, TN","Memphis, TN-MS-AR",16,0.833178869,73.26,21.28,10.2835,67800,0.295857988,1.497005988,0.035958702,73,0.234089849,0.053461919,86
City,Charlotte,Charlotte,NC,"Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC",17,3.135310473,79.31,8.8688,5.7051,163700,0.367872471,6.092028516,0.035485644,66.5,0.130157935,0.04358689,85
City,El Paso,El Paso,TX,"El Paso, TX","El Paso, TX",18,3.574606117,86.67,,,110800,-0.270027003,-0.35971223,0.039422383,35,0.163004262,0.021442774,131
City,Boston,Boston,MA,"Boston, MA","Boston-Cambridge-Newton, MA-NH",19,8.190917516,97.76,3.29,1.2154,478000,0.716392752,9.910324212,0.026811715,28.9,0.091515105,0.033045094,64
City,Seattle,Seattle,WA,"Seattle, WA","Seattle-Tacoma-Bellevue, WA",20,9.473586654,96.87,2.9508,1.4273,530100,0.569151964,13.10006401,0.067177891,35.1,0.066628477,0.011219316,46
City,Baltimore,Baltimore,MD,"Baltimore, MD","Baltimore-Columbia-Towson, MD",21,0.657089898,78.79,24.1068,8.7795,109700,0.54995417,1.951672862,0.015496809,102.9,0.248942506,0.078050452,121
City,Denver,Denver,CO,"Denver, CO","Denver-Aurora-Lakewood, CO",22,9.59592215,97.67,3.448,0.8689,330000,0.57909174,13.71467953,0.050163636,47,0.065847327,0.007926287,63
